Date,Trips over the past 24-hours (midnight to 11:59pm),Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm)
10/1/2018,71387,120257,290631,2618,307
10/2/2018,73113,122234,290788,2666,195
10/3/2018,76769,129720,290947,3141,199
10/4/2018,70698,116337,291073,2838,222
10/5/2018,74744,129597,291166,3979,254
10/6/2018,57599,110421,291298,5658,310
10/7/2018,60753,127033,291425,6936,277
10/8/2018,58256,95097,291549,2865,121
10/9/2018,74251,123973,291672,2846,207
10/10/2018,77317,132255,291765,3115,202
10/11/2018,46862,70173,291862,1323,59
10/12/2018,67686,113055,291962,3453,255
10/13/2018,54747,100652,292029,2430,125
10/14/2018,54297,103697,292158,4805,204
10/15/2018,59181,92219,292262,1958,95
10/16/2018,66661,104171,292370,2200,158
10/17/2018,67868,107762,292469,2341,134
10/18/2018,61668,94356,292519,1969,143
10/19/2018,64735,105730,292604,3012,192
10/20/2018,56281,109142,292711,5644,309
10/21/2018,39192,64764,292811,2488,100
10/22/2018,57919,88293,292899,1721,133
10/23/2018,68086,110293,292992,2356,181
10/24/2018,64203,98615,293077,1942,97
10/25/2018,61637,95827,293309,2003,146
10/26/2018,59861,92569,293508,2292,131
10/27/2018,13124,17949,293542,333,11
10/28/2018,42502,74540,293611,3134,154
10/29/2018,60028,92882,293722,1853,156
10/30/2018,65545,102834,293819,1957,141
10/31/2018,68447,114039,294007,2544,225
11/1/2018,74260,128502,294111,3288,245
11/2/2018,63746,105906,294186,2817,237
11/3/2018,49127,89639,294256,4200,199
11/4/2018,50713,98021,294329,5107,99
11/5/2018,33345,47328,294396,776,31
11/6/2018,40271,56313,294442,1186,29
11/7/2018,67925,112354,294527,2590,189
11/8/2018,64441,103621,294595,2191,146
11/9/2018,36952,54282,294647,1064,63
11/10/2018,37809,63740,294689,2649,132
11/11/2018,36612,64197,294744,2763,78
11/12/2018,51341,79338,294792,1707,79
11/13/2018,36957,52453,294838,751,27
11/14/2018,49621,70932,294882,935,30
11/15/2018,24948,35594,294900,407,24
11/16/2018,34447,49576,294915,761,48
11/17/2018,37974,61206,294951,2257,56
11/18/2018,34390,55093,294988,1916,45
11/19/2018,54540,83935,295037,1522,84
11/20/2018,51910,75746,295070,1259,37
11/21/2018,40417,58441,295112,1050,39
11/22/2018,8798,12626,295200,369,20
11/23/2018,16107,23143,295439,597,26
11/24/2018,20087,32011,295530,1137,41
11/25/2018,34519,60831,295688,2521,36
11/26/2018,29189,42333,296251,499,18
11/27/2018,49979,74556,296351,802,31
11/28/2018,48433,69352,296405,777,29
11/29/2018,51468,76715,296452,1054,51
11/30/2018,46001,67098,296497,1065,47
12/1/2018,37989,62304,296553,2256,37
12/2/2018,18418,26501,296584,554,11
12/3/2018,53974,85524,296664,1308,62
12/4/2018,49058,71843,296708,867,27
12/5/2018,46779,67536,296753,814,38
12/6/2018,46543,66885,296798,910,40
12/7/2018,43841,63353,296843,948,52
12/8/2018,29909,44552,296867,1271,46
12/9/2018,27547,40886,296897,1064,23
12/10/2018,43358,62699,296938,762,25
12/11/2018,47335,68321,296974,823,20
12/12/2018,47717,68600,297005,748,28
12/13/2018,40736,57295,297042,593,14
12/14/2018,44775,66633,297078,1137,44
12/15/2018,36423,57244,297119,1902,45
12/16/2018,9835,13599,297131,203,4
12/17/2018,45382,66449,297173,909,32
12/18/2018,41703,58360,297205,656,22
12/19/2018,44096,63165,297238,877,22
12/20/2018,34026,48713,297269,751,20
12/21/2018,23996,34450,297290,481,24
12/22/2018,24870,36653,297327,1088,25
12/23/2018,22230,35921,297355,1298,37
12/24/2018,18990,27246,297387,681,18
12/25/2018,11177,21483,297426,1080,38
12/26/2018,25358,39176,297487,1118,49
12/27/2018,31169,48943,297527,1510,51
12/28/2018,12039,17576,297555,334,25
12/29/2018,29037,54116,297622,2677,104
12/30/2018,22536,37741,297682,1562,51
12/31/2018,18936,29794,297748,962,31
